Country,AverageTemperature,Code,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions
India,25.0208397659459,IND,20569696.0,200839070.0,119724856.0
India,24.9893093660389,IND,20984666.0,201611650.0,95010140.0
India,24.8702233589088,IND,21389268.0,202384880.0,81333940.0
India,25.1711491901108,IND,21777102.0,203158720.0,73884540.0
India,25.2494208581984,IND,22141748.0,203933180.0,68867250.0
India,25.3278429435015,IND,22476800.0,204708290.0,64534970.0
India,24.4663575215066,IND,22775842.0,205484060.0,62419816.0
India,24.3148547740836,IND,23032470.0,206260420.0,59585852.0
India,25.6011602091021,IND,23240264.0,207113280.0,58048700.0
India,25.5392736318408,IND,23392816.0,207937490.0,57333000.0
India,25.3520712316177,IND,23483718.0,208717140.0,56805076.0
India,25.379012254902,IND,23535866.0,209468130.0,55609336.0
India,22.6644414003044,IND,23578138.0,210258000.0,55275540.0
India,24.8721516203704,IND,23613064.0,211049840.0,54648920.0
India,24.6913842592593,IND,23643196.0,211824530.0,55291890.0
India,25.918386558845,IND,23671072.0,212604320.0,54324250.0
India,25.4903303179825,IND,23699234.0,213400740.0,55322960.0
India,25.591891995614,IND,23730220.0,214060820.0,54720780.0
India,25.4604768261392,IND,23766576.0,214844510.0,52550004.0
India,25.6003872239748,IND,23810838.0,215628900.0,52528228.0
India,25.02692114237,IND,23865554.0,217394380.0,53173116.0
India,25.1120803495311,IND,24252012.0,217755120.0,52888144.0
India,25.1207429667519,IND,25202694.0,218115840.0,53262784.0
India,25.1927425404945,IND,26586916.0,218476720.0,53759440.0
India,24.9849304619081,IND,28273986.0,218837620.0,52489536.0
India,25.2802653452685,IND,30133218.0,219198500.0,53462596.0
India,25.2411630434783,IND,32033928.0,219559550.0,54110816.0
India,25.398076513214,IND,33845428.0,219920620.0,53938660.0
India,25.6141287297528,IND,35437040.0,220621540.0,56175204.0
India,25.1105673486786,IND,36678056.0,220955650.0,55496220.0
India,25.3293314151748,IND,37437816.0,221350340.0,57027960.0
India,25.1854047314578,IND,37874356.0,223262780.0,58715470.0
India,25.0895782182438,IND,38242076.0,225233800.0,60106424.0
India,24.8535598891731,IND,38554812.0,227216670.0,60979210.0
India,24.7710441176471,IND,38826400.0,229174370.0,63059716.0
India,24.9168037084399,IND,39070690.0,231063710.0,63273252.0
India,25.1427896419437,IND,39301504.0,233027890.0,64005500.0
India,24.9074482097187,IND,39532690.0,235016130.0,65130204.0
India,25.1854595055414,IND,39778080.0,236998690.0,66683500.0
India,25.4674465046888,IND,40051516.0,239016820.0,68445540.0
India,25.1732018329071,IND,41581748.0,241026100.0,69407170.0
India,25.1331560102302,IND,41698772.0,241501330.0,70719280.0
India,25.4642101449275,IND,41820776.0,241994960.0,71825140.0
India,24.3704094202899,IND,41947640.0,242432160.0,72151096.0
India,25.2039716538789,IND,42079204.0,242925200.0,72779120.0
India,25.2950699062234,IND,42215344.0,243590660.0,75554770.0
India,25.9060008525149,IND,42355904.0,244116500.0,76682660.0
India,25.7286142369992,IND,42500750.0,244620350.0,78917840.0
India,25.5366413043478,IND,42649736.0,245220690.0,81282190.0
India,25.6371583546462,IND,42802732.0,245807780.0,82091880.0
India,25.8310210997443,IND,42959588.0,246575900.0,83054616.0
India,25.587903026428,IND,43129148.0,245603440.0,83172940.0
India,25.7821651747656,IND,43316944.0,244717040.0,84460130.0
India,25.3142932651321,IND,43517844.0,243574220.0,86662536.0
India,25.2583096760443,IND,43726710.0,242698910.0,88864500.0
India,25.0006628303495,IND,43938416.0,241618670.0,89430264.0
India,25.3980520034101,IND,44147824.0,240933860.0,91089384.0
India,25.2081227621483,IND,44349810.0,240235730.0,94219784.0
India,25.2840839727195,IND,44539230.0,239639550.0,97979304.0
India,25.1682237851662,IND,44710972.0,238224770.0,98684200.0
India,25.047676683717,IND,44859890.0,237088200.0,100830184.0
India,25.3857608695652,IND,44988900.0,237745380.0,102912910.0
India,25.4823846973572,IND,45106160.0,238787400.0,107274184.0
India,25.1909933930094,IND,45214404.0,239671100.0,112089820.0
India,25.3158143648764,IND,45316372.0,240122900.0,113526904.0
India,25.7670903665814,IND,45414790.0,240713940.0,116081336.0
India,25.3223734015345,IND,45512396.0,241140750.0,118459210.0
India,24.5735707587383,IND,45611920.0,241825250.0,122886320.0
India,25.2759164535379,IND,45716092.0,243030340.0,126401420.0
India,25.3162551150895,IND,45827656.0,244039230.0,130464690.0
India,25.471323316283,IND,45949340.0,242867200.0,180004660.0
India,25.7544194373402,IND,46090920.0,245727420.0,207652640.0
India,25.3824181585678,IND,46255950.0,248147700.0,224003000.0
India,25.4249769820972,IND,46437828.0,250887100.0,232739310.0
India,25.5476977834612,IND,46629936.0,253910270.0,242451260.0
India,25.146810741688,IND,46825656.0,256343570.0,249490430.0
India,25.3428037084399,IND,47018380.0,258894270.0,252948670.0
India,25.2913305626599,IND,47201500.0,261777060.0,261051780.0
India,25.6619614236999,IND,47368396.0,264354820.0,262037730.0
India,25.4991528132992,IND,47512464.0,267185340.0,267718080.0
India,25.3526566496164,IND,47627084.0,269840320.0,274967800.0
India,25.7579729326513,IND,47725004.0,272854430.0,274098140.0
India,25.605511082694,IND,47823796.0,276040670.0,274882720.0
India,25.0327546888321,IND,47924136.0,279626750.0,278841920.0
India,25.2719780477408,IND,48026668.0,284088770.0,284812800.0
India,25.2928736146633,IND,48132064.0,288116300.0,288888320.0
India,25.3049335038363,IND,48240980.0,293404830.0,292622900.0
India,25.1811722080136,IND,48354084.0,299687840.0,300140770.0
India,25.4144245524297,IND,48472030.0,306306750.0,306564260.0
India,25.5010801364024,IND,48595490.0,311676320.0,306997300.0
India,25.3989575873828,IND,48725110.0,317831200.0,313948960.0
India,26.1757233589088,IND,48996776.0,322511100.0,315302200.0
India,25.7001489769821,IND,49510396.0,327185380.0,319147170.0
India,25.4136344842285,IND,50212680.0,330600000.0,315935900.0
India,25.356147485081,IND,51050364.0,335561250.0,321019520.0
India,25.1746690110827,IND,51970156.0,341079140.0,328587680.0
India,25.573847826087,IND,52918784.0,345542300.0,328726500.0
India,25.7603184143223,IND,53842970.0,344455360.0,333039580.0
India,25.6985869565217,IND,54689424.0,349088700.0,335379620.0
India,25.5215569053709,IND,55404870.0,354351800.0,340790300.0
India,25.1755910059676,IND,55936040.0,359014370.0,398742340.0
India,25.7465372975277,IND,56386330.0,366758750.0,422150050.0
India,25.8403874680307,IND,56887864.0,375217020.0,440235100.0
India,26.0556353367434,IND,57430440.0,383578600.0,450524400.0
India,25.6702122762148,IND,58003868.0,392465060.0,465406820.0
India,25.4597173913044,IND,58597944.0,402062600.0,479003100.0
India,25.392692455243,IND,59202468.0,411622660.0,489163940.0
India,25.5547031116795,IND,59807250.0,422750720.0,500879230.0
India,26.1986432225064,IND,60402076.0,433336740.0,506931840.0
India,25.7589595055414,IND,60976764.0,444397100.0,516970050.0
India,25.7771287297528,IND,61521104.0,456710660.0,411595170.0
India,25.3258582693947,IND,65422452.0,461419300.0,480818000.0
India,25.4012410485934,IND,65844580.0,464899400.0,390006660.0
India,25.6029017476556,IND,66416316.0,467520260.0,375042300.0
India,25.5783480392157,IND,68195370.0,472247300.0,364358100.0
India,25.5977909207161,IND,68015050.0,473358460.0,359971650.0
India,25.9501078431373,IND,70777480.0,481296260.0,395934400.0
India,25.4963595481671,IND,73487380.0,486158140.0,397253280.0
India,25.3795471014493,IND,75946390.0,494186720.0,355090980.0
India,25.9785014919011,IND,77836490.0,500381760.0,367350980.0
India,25.5725605285593,IND,79027090.0,505960670.0,334056740.0
India,25.0800240835465,IND,81258260.0,511138050.0,361260200.0
India,25.7659663256607,IND,83190216.0,514725700.0,426549250.0
India,25.848929028133,IND,85197410.0,521180670.0,414554270.0
India,25.6660289855073,IND,85027180.0,527878080.0,410188030.0
India,25.3893719096334,IND,93316830.0,540195700.0,402492400.0
India,25.6944774083547,IND,92715464.0,543885950.0,389652600.0
India,25.7655468883206,IND,96962560.0,554123970.0,477074750.0
India,25.492502344416,IND,101398080.0,561483400.0,430896640.0
India,26.075610400682,IND,103345570.0,567310000.0,415203620.0
India,26.0736890451833,IND,105536780.0,579337000.0,434447360.0
India,25.6769057971015,IND,110852776.0,594470660.0,465657540.0
India,25.7134599317988,IND,111757740.0,599860200.0,453748000.0
India,25.439405370844,IND,119066060.0,620679900.0,544063800.0
India,25.6687389173061,IND,124624810.0,631420160.0,506949660.0
India,25.9826170076726,IND,127282770.0,639972200.0,523720600.0
India,25.7836031543052,IND,133702264.0,660655740.0,564901500.0
India,26.3421572890026,IND,129984984.0,666330700.0,560415360.0
India,26.2080398550725,IND,141047900.0,693863800.0,627593800.0
India,25.6629497016198,IND,143732640.0,710642050.0,657909000.0
India,25.6921668797954,IND,146990830.0,682018300.0,693184900.0
India,25.8465632992327,IND,151637460.0,691536600.0,722362600.0
India,25.7488137254902,IND,155991070.0,695636800.0,772014460.0
India,25.8991905370844,IND,159798820.0,699370100.0,775762700.0
India,25.8285453964194,IND,165349620.0,706799940.0,801752960.0
India,25.9670711849957,IND,168983170.0,717494850.0,826881900.0
India,25.9194183716965,IND,173719950.0,726102300.0,908823100.0
India,25.5494479965899,IND,178349250.0,735621600.0,920703940.0
India,26.2190831202046,IND,182136080.0,740390500.0,930513660.0
India,26.1580377237852,IND,185191920.0,747096450.0,1001915700.0
India,25.9811479113385,IND,182117500.0,751374700.0,1063194300.0
India,26.04534228474,IND,185073230.0,757369100.0,1058184500.0
India,26.4069081415175,IND,179213600.0,752914940.0,1070268860.0
India,26.1271140238704,IND,185213570.0,766230400.0,1124783900.0
India,26.1196078431373,IND,191837970.0,777779600.0,1178277100.0
India,26.0122538363171,IND,200162080.0,795876860.0,1229478900.0
India,26.2615353793691,IND,209050900.0,808479300.0,1332598900.0
India,26.1259134697357,IND,218822930.0,826696300.0,1453097100.0
India,25.8883670076726,IND,223882960.0,842426700.0,1569957400.0
India,26.6031189258312,IND,229390700.0,846682560.0,1663901000.0
India,26.5498780903666,IND,236716350.0,856304060.0,1739395000.0
India,25.8804991474851,IND,245215710.0,864451260.0,1815487200.0
India,26.1912259164535,IND,244847680.0,866758000.0,1990885600.0
India,26.8641860613811,IND,245018850.0,841145860.0,2077222100.0
